,popularity,top_casts_popularity_avg,casts_popularity_sum,crews_popularity_sum,budget,revenue,vote_count,is_good
811,4.158,4.1816,71.40599999999998,19.576000000000004,1452000.0,2713000.0,19,0
812,11.504,10.0772,67.19999999999999,33.259,54000000.0,7266209.0,313,0
813,8.33,4.065,27.589,34.978,2500000.0,1500000.0,83,0
814,22.809,14.2048,104.61099999999998,143.766,32000000.0,79082515.0,2144,0
815,2.075,1.4380000000000002,10.709,3.045,1400000.0,8300000.0,11,0
816,8.082,6.029400000000001,36.258,8.593999999999998,10000000.0,1261210.0,39,0
817,17.025,12.5478,184.003,87.01799999999994,50000000.0,273552592.0,2232,0
818,28.178,8.9822,89.44200000000002,28.621,10000000.0,159313561.0,1606,0
819,13.578,7.6208,62.31500000000001,6.3820000000000014,45000000.0,38399961.0,446,0
820,55.378,7.8843999999999985,61.445,43.21600000000001,12500000.0,20416563.0,5136,1
821,5.151,5.9060000000000015,46.74399999999999,8.068,5000000.0,807947.0,16,0
822,1.681,1.1452,10.525999999999998,7.317,1180000.0,4292000.0,6,1
823,2.775,1.1282,8.641,4.58,2600000.0,568864.0,8,0
824,9.864,3.0614000000000003,61.612,13.439999999999998,9272437.0,11672363.0,142,0
825,19.789,3.4616,76.81999999999998,37.797,4000000.0,44349000.0,4045,1
826,10.827,3.9106,33.492000000000004,32.922000000000004,6000000.0,5844868.0,524,0
827,18.888,12.3316,146.934,34.337,13000000.0,22863596.0,3052,1
828,10.695,5.225,43.24,20.292,850000.0,1243961.0,220,0
829,12.470999999999998,9.7776,132.828,28.70100000000001,47000000.0,38085778.0,325,0
830,12.975,2.5650000000000004,42.471000000000004,17.230000000000004,6500000.0,12376563.0,417,0
831,11.823,6.863200000000001,69.301,16.32,40000000.0,25804707.0,337,0
832,10.671,7.5867999999999975,57.38500000000001,42.45700000000001,26000000.0,1094668.0,90,0
833,37.725,5.956,72.529,151.32899999999995,23000000.0,112880294.0,3817,0
834,14.708,6.3092,35.606,26.33900000000001,25000000.0,15843608.0,261,0
835,27.632,2.8006,30.223000000000006,19.412000000000006,3500000.0,1593464.0,125,1
836,21.7,13.236,116.752,92.484,50000000.0,55181129.0,990,0
837,37.075,6.4358,42.053000000000004,4.593,30000000.0,18010317.0,800,0
838,7.452000000000001,3.9592,35.741,22.881000000000004,12000000.0,1263279.0,60,0
839,13.241,6.3954,62.306000000000004,26.52000000000001,90000000.0,17177993.0,138,0
840,47.13800000000001,6.3832,50.88200000000001,219.632,185000000.0,538983207.0,10529,0
841,25.884,8.834399999999997,104.853,50.42999999999999,44000000.0,12342632.0,4507,0
842,44.269,10.4408,104.49700000000001,114.11499999999997,45000000.0,376141306.0,5093,0
843,17.396,11.9892,162.55999999999997,116.86,36000000.0,86157237.0,1463,0
844,27.216,12.6786,184.614,130.689,85000000.0,450717150.0,8768,1
845,8.527999999999999,5.1770000000000005,30.978,1.3980000000000001,13000000.0,2570145.0,38,0
846,1.999,2.3920000000000003,64.68699999999998,4.02,510000.0,2700000.0,8,0
847,14.311,8.3734,54.117,21.954,7500000.0,6715067.0,133,0
848,11.459,8.66,79.52600000000002,14.043,18000000.0,87000000.0,896,0
849,14.56,5.7018,43.25100000000001,22.15400000000001,4000000.0,44909486.0,629,0
850,19.659,11.206599999999998,104.06,32.696000000000005,45000000.0,184724494.0,2659,0
851,12.607,10.4922,62.824,123.06700000000001,80000000.0,37020277.0,1123,0
852,1.7009999999999998,0.6950000000000001,2.78,2.18,230000.0,654000.0,0,0
853,28.941,6.4574,61.201,40.43000000000001,10500000.0,792965500.0,8585,1
854,32.236999999999995,10.124,109.67399999999999,44.325,145000000.0,403449830.0,3360,0
855,10.583,1.5742,11.725,25.50800000000001,2159280.0,15298355.0,672,1
856,11.546,5.1398,61.026,13.651000000000002,18000000.0,12000000.0,823,1
857,12.055,6.2918,63.085,36.962,3000000.0,3221568.0,213,0
858,11.868,11.4912,91.526,37.945,24000000.0,88545092.0,795,0
859,16.064,10.4896,76.59099999999998,11.896999999999998,40000000.0,144056873.0,3233,0
860,1.3769999999999998,1.3072,10.136,6.028,1645266.0,757123.0,6,0
861,10.946,4.6894,48.356,6.769,25000000.0,9873044.0,307,0
862,12.265999999999998,11.6334,139.116,24.919,60000000.0,31720158.0,570,0
863,30.319000000000006,17.2542,162.43200000000004,137.45600000000002,65000000.0,235666219.0,4868,0
864,13.885,5.472799999999999,74.919,24.399,1800000.0,6800000.0,474,0
865,12.345,13.8132,126.08299999999998,23.123000000000008,55000000.0,9450897.0,200,0
866,14.533,5.2878,60.64700000000001,33.344,15000000.0,118243066.0,705,0
867,94.984,8.2884,118.213,75.44699999999997,100000000.0,83672673.0,3323,0
868,74.087,16.465,265.61800000000005,187.819,217000000.0,605425157.0,4397,0
869,18.069000000000006,11.6792,91.835,21.270000000000003,35000000.0,85416905.0,1480,0
870,29.087,9.7916,176.043,130.04399999999998,30000000.0,446486224.0,13151,1
871,25.014,11.3246,106.26099999999998,94.87599999999998,55000000.0,70016220.0,2504,0
872,11.993,8.0082,85.92200000000003,27.41500000000001,20000000.0,7563728.0,834,0
873,14.831,6.937,65.32100000000001,13.471999999999998,45000000.0,57881056.0,746,0
874,34.537,13.675400000000002,170.826,50.32,150000000.0,738599701.0,7714,0
875,8.509,3.008,21.85,11.397999999999998,783000.0,9000000.0,215,1
876,0.911,0.6,4.2,11.999999999999998,160000.0,440000.0,2,1
877,24.488000000000003,13.4506,134.95600000000005,38.423,125000000.0,198802074.0,4284,0
878,69.25,1.8464,22.173,5.999999999999999,1500000.0,2000000.0,171,1
879,12.997,7.6438000000000015,132.713,50.95,12000000.0,41744718.0,458,0
880,39.286,4.5692,85.62199999999997,8.052,5000000.0,23507567.0,287,0
881,14.08,14.84,119.337,76.36099999999998,5000000.0,2333684.0,317,0
