,popularity,casts_popularity_sum,crews_popularity_sum,budget,revenue,vote_count,is_good
1371,18.549,90.647,103.528,50000000.0,25195000.0,346,0
1372,5.329,29.975,5.087,2500000.0,1062253.0,32,0
1373,10.443,30.79000000000001,10.192,12000000.0,21001563.0,96,0
1374,2.912,38.45399999999999,23.81400000000001,3900000.0,4900000.0,27,0
1375,13.047,66.69399999999999,39.56200000000001,32000000.0,152036382.0,779,0
1376,19.89,86.22699999999998,33.608000000000004,7000000.0,25405445.0,1981,0
1377,11.588,34.33299999999999,8.538,14000000.0,24637469.0,75,0
1378,14.081,61.602,18.044,24500000.0,15502112.0,792,0
1379,14.543,53.21700000000002,37.91400000000001,25000000.0,2054941.0,611,0
1380,4.14,32.716,5.647999999999999,10000000.0,6892098.0,3,0
1381,0.6,2.78,10.086,2000000.0,14000000.0,3,0
1382,12.109000000000002,35.85200000000001,19.892,20000000.0,21170563.0,112,0
1383,98.738,155.49200000000005,186.172,40000000.0,171539887.0,8932,1
1384,8.309,29.885000000000005,18.253000000000004,9250000.0,29174648.0,71,0
1385,117.534,410.496,167.058,250000000.0,1153296293.0,17821,1
1386,7.755,26.476,13.141999999999998,1000000.0,1753979.0,57,0
1387,16.265,41.229000000000006,81.74399999999993,6000000.0,25792310.0,880,0
1388,1.4,28.677,15.259999999999998,500000.0,500000.0,2,0
1389,15.098,68.53299999999999,14.139,6000000.0,38435947.0,449,0
1390,1.183,8.033999999999999,4.973999999999998,7000000.0,2540000.0,3,0
1391,20.835,35.836999999999996,13.547999999999995,19000000.0,17665000.0,370,0
1392,12.524,63.522,20.074,10000000.0,85300000.0,579,0
1393,5.127000000000002,28.952,1.2,9000000.0,706000.0,19,0
1394,55.044,95.69200000000001,61.266999999999996,9000000.0,111928365.0,4998,0
1395,16.534000000000002,83.80999999999995,26.695,35000000.0,117000198.0,658,0
1396,13.608,110.14999999999998,46.092,30000000.0,33448971.0,375,0
1397,8.481,46.928000000000004,10.067999999999998,5000000.0,846704.0,46,0
1398,26.008000000000006,135.322,23.145000000000003,4000000.0,402352579.0,2898,1
1399,25.222,127.617,131.34099999999998,100000000.0,336529144.0,3765,0
1400,9.742,87.26399999999998,21.329000000000004,24000000.0,13700000.0,97,0
1401,17.874000000000006,66.803,48.902,7000000.0,7600000.0,1545,1
1402,17.219,100.325,167.53199999999995,48000000.0,171339013.0,561,0
1403,15.001,70.71899999999998,14.735999999999999,11000000.0,34967437.0,637,0
1404,8.976,66.95899999999999,36.175,11000000.0,11439193.0,214,0
1405,57.47,129.19899999999998,141.39799999999997,76000000.0,970761885.0,9004,0
1406,3.599,27.41300000000001,25.336,2223967.0,2028752.0,32,0
1407,17.077,80.55399999999999,20.456,50000000.0,60161391.0,848,0
1408,11.286,111.242,50.058,11795877.0,3603484.0,282,0
1409,12.93,155.78400000000005,47.008,75000000.0,119000410.0,999,0
1410,21.016,72.18399999999998,19.878000000000007,22000000.0,10696210.0,804,0
1411,11.238,52.77800000000001,15.993999999999998,14000000.0,21753365.0,376,0
1412,12.174,58.602,22.719,44000000.0,21400000.0,545,0
1413,10.795,28.637,21.806,3000000.0,11718595.0,77,0
1414,31.684,128.884,202.801,125000000.0,546388105.0,4733,0
1415,11.643,57.162000000000006,28.312000000000005,30000000.0,13273595.0,194,0
1416,57.26600000000001,127.596,76.49999999999999,40000000.0,458863600.0,12928,0
1417,15.498,43.971000000000004,99.65399999999998,60000000.0,128038368.0,913,0
1418,45.685,59.87200000000001,26.611000000000004,30000000.0,51376861.0,716,0
1419,4.019,6.76,0.6,10000000.0,2600000.0,12,0
1420,11.843,26.564000000000004,9.578,12000000.0,38368909.0,423,0
1421,8.709,19.407000000000004,9.488999999999999,8500000.0,29916207.0,88,0
1422,31.019,99.604,137.48399999999998,150000000.0,205366737.0,3634,0
1423,12.112,37.898,30.13100000000001,5000000.0,25200000.0,238,1
1424,9.763,30.40000000000001,46.25100000000001,25000000.0,5778353.0,87,0
1425,28.995,220.207,117.40099999999998,45000000.0,178262620.0,2311,0
1426,5.0,44.26300000000001,16.86,250000.0,3914430.0,438,0
1427,2.291,25.723000000000006,9.71,2800000.0,5600000.0,8,0
1428,29.279,145.409,43.721000000000004,14000000.0,178043761.0,4942,1
1429,12.454,49.785,15.934000000000001,12000000.0,96800000.0,1316,1
1430,2.892,12.235999999999999,5.4,4700000.0,2200510.0,25,0
1431,11.21,65.08099999999999,24.311,17820000.0,14054361.0,862,0
1432,10.359000000000002,23.541999999999998,14.800999999999995,9000000.0,771499.0,33,0
1433,0.652,3.8,4.2,280000.0,2000000.0,2,0
1434,49.06800000000001,148.1,188.528,200000000.0,559852396.0,5538,0
1435,6.058,52.166000000000004,22.76500000000001,4000000.0,851545.0,28,0
1436,13.45,72.16199999999998,17.049000000000003,25000000.0,16159325.0,407,0
1437,23.321,63.351000000000006,79.50099999999995,30000000.0,32540674.0,979,0
1438,77.62899999999998,275.89300000000003,105.571,200000000.0,623933331.0,15937,0
1439,11.050999999999998,32.962,25.94800000000001,5000000.0,2852915.0,121,0
1440,6.877999999999999,19.896000000000008,5.786999999999999,3500000.0,890303.0,13,0
1441,20.254,69.54899999999998,23.97400000000001,3500000.0,44019588.0,1363,0
1442,1.4,21.331,8.068,799634.0,3036326.0,2,0
1443,13.543,92.53599999999996,80.32099999999996,19500000.0,34854990.0,1000,0
1444,7.916,46.855,12.029000000000002,3550000.0,48000000.0,102,1
1445,9.169,14.81,24.405,4500000.0,40000000.0,234,1
1446,16.264,145.37399999999997,66.43699999999997,35000000.0,50363790.0,1983,0
1447,6.914,8.447999999999999,27.76100000000001,1000000.0,444575.0,466,1
1448,11.203,129.21499999999997,66.387,10000000.0,29450919.0,467,0
1449,40.078,150.0,101.24399999999996,55000000.0,203427584.0,3717,0
1450,14.171,118.572,25.719,30000000.0,19526014.0,409,0
1451,9.693,21.721000000000004,20.934,134000.0,4000000.0,333,0
1452,21.482,25.605000000000004,12.377,9000000.0,8119285.0,240,0
1453,26.887,65.07,109.07799999999996,35000000.0,99255460.0,1043,0
1454,14.43,77.72999999999998,42.459,20000000.0,5530764.0,433,0
1455,36.671,114.632,56.504,17000000.0,136621271.0,2109,0
1456,28.884,45.699,16.904000000000003,950000.0,59600000.0,2421,0
1457,12.23,23.563000000000002,35.53600000000001,10400000.0,310000000.0,573,1
1458,30.869,74.86999999999998,4.5680000000000005,1000000.0,34522221.0,219,1
1459,22.113000000000003,61.423,31.16900000000001,63000000.0,183953723.0,894,0
1460,15.296,54.00000000000001,35.578,2000000.0,11303040.0,1887,1
1461,12.956,53.788,60.678000000000004,35000000.0,63710000.0,558,0
1462,45.986,75.942,87.98700000000002,15000000.0,306515884.0,4242,0
1463,33.824,21.395,64.62899999999999,10000000.0,1785977.0,1857,0
1464,13.08,51.45399999999999,1.544,35000000.0,43650785.0,182,0
1465,12.82,30.658,85.509,5741614.0,1471656.0,614,0
1466,10.605,96.552,30.233,1350000.0,28356188.0,4738,1
1467,9.64,11.749,10.364999999999997,8000000.0,5873256.0,923,1
1468,56.574,22.084999999999994,52.952,858000.0,267447150.0,4231,0
1469,62.834,129.65200000000002,278.52199999999993,34000000.0,226945087.0,11726,1
1470,24.867,81.10200000000002,27.41600000000001,85000000.0,197309027.0,1970,0
1471,19.763,33.337999999999994,17.966000000000005,10000000.0,36230219.0,1888,0
1472,20.96,52.243,22.93000000000001,660000.0,16000000.0,378,0
1473,19.192,28.205,26.32800000000001,63300000.0,731607.0,52,0
1474,16.717,24.37800000000001,57.32899999999999,19000000.0,174999005.0,689,0
1475,5.407,65.274,99.65399999999998,43000000.0,13300000.0,38,0
1476,14.122,28.018000000000004,12.714,9400000.0,20000000.0,145,1
1477,13.102,108.776,62.268,26000000.0,116400000.0,519,0
1478,10.513,70.755,22.733,6000000.0,40940662.0,534,0
1479,15.115,99.623,16.965,38000000.0,266614059.0,943,0
1480,16.903,50.13499999999999,18.495,21150000.0,39438674.0,415,0
1481,6.19,15.291,17.025,5200000.0,9200000.0,91,0
1482,21.381,142.01599999999996,14.411,58500000.0,111127553.0,2405,1
1483,13.324000000000002,32.754,20.693,3000000.0,4210454.0,2511,0
1484,15.568,141.63399999999996,20.865,20000000.0,30426096.0,1727,0
1485,10.859000000000002,24.306,2.108,14000000.0,6856989.0,63,0
1486,23.252,97.73699999999998,25.936,15000000.0,120207127.0,3181,1
1487,9.053,31.77000000000001,25.613000000000003,3400000.0,17240000.0,477,1
1488,8.632,44.803000000000004,19.136000000000006,7300000.0,2996763.0,43,0
1489,15.751,75.58699999999997,16.367,40000000.0,65754228.0,930,0
