,popularity,casts_popularity_sum,crews_popularity_sum,budget,revenue,vote_count,is_good
262,6.087999999999999,59.95399999999999,15.483999999999998,11000000.0,1044824.0,37,0
263,12.163,66.67199999999998,15.541,33000000.0,9494789.0,531,0
264,15.578,45.526,8.347999999999999,15000000.0,41092328.0,488,0
265,13.112,103.33100000000002,22.882000000000005,42000000.0,63781810.0,509,0
266,7.169,20.550000000000004,9.179999999999998,400000.0,1163450.0,10,0
267,31.07,94.33699999999996,42.787000000000006,10200000.0,35728183.0,1378,0
268,8.006,25.41200000000001,19.500000000000007,6000000.0,399611.0,22,0
269,0.62,3.994,3.0,15000.0,1500000.0,1,0
270,13.817,85.18299999999998,64.49499999999999,18000000.0,1220058.0,384,0
271,2.077,20.078000000000007,7.151999999999999,3500000.0,10000000.0,5,0
272,19.297,66.70299999999999,17.876000000000005,22000000.0,40120144.0,302,0
273,17.008,95.312,5.728,40000000.0,65146020.0,293,0
274,10.291,46.702,2.38,7000000.0,10229331.0,68,0
275,11.327,62.983,5.2829999999999995,19032261.0,5000000.0,134,0
276,12.666,43.19600000000001,26.864000000000004,14000000.0,25482931.0,113,0
277,55.445,95.904,79.44999999999995,80000000.0,37384046.0,750,0
278,12.669,62.58300000000001,33.13300000000001,60000000.0,32095318.0,176,0
279,14.454,86.14899999999999,76.72999999999995,62000000.0,127666415.0,797,0
280,17.221,158.20399999999995,38.242,80000000.0,212874864.0,2183,0
281,14.651,51.213,33.104000000000006,15000000.0,3533227.0,714,0
282,12.425,74.998,62.13299999999999,60000000.0,52322400.0,586,0
283,11.046,81.33099999999997,31.62700000000001,85000000.0,35598376.0,196,0
284,11.937,23.781,35.159000000000006,44005000.0,91708374.0,185,0
285,12.873,49.489,35.542,5000000.0,3099314.0,1135,0
286,14.534,84.00200000000002,28.82200000000001,20000000.0,37903295.0,524,0
287,11.863,22.424000000000003,38.629,2000000.0,4100000.0,756,0
288,2.824,23.94700000000001,23.98000000000001,5600000.0,2700000.0,25,0
289,10.1,33.65300000000001,4.359999999999999,19000000.0,19748009.0,45,0
290,13.819,79.89299999999999,49.94499999999999,22000000.0,413454.0,229,0
291,10.774,43.4,9.597999999999999,30000000.0,8315693.0,91,0
292,10.137,83.60199999999998,36.69600000000001,34000000.0,17904202.0,180,0
293,3.984,19.815000000000005,6.071999999999999,151000.0,8000000.0,41,0
294,9.932,86.475,5.789999999999999,26350000.0,1576687.0,170,0
295,15.470999999999998,74.837,20.004,62000000.0,18720175.0,417,0
296,10.409,86.68599999999998,47.172,35000000.0,18635620.0,136,0
297,29.761,82.01799999999999,85.60099999999998,130000000.0,371940071.0,4123,0
298,17.241,119.456,47.13100000000002,35000000.0,24159934.0,925,0
299,25.0,28.951,17.049,700000.0,4116395.0,111,0
300,3.395,18.587,12.819,280000.0,831000.0,14,0
301,15.486,65.829,48.957,50000000.0,53431158.0,555,0
302,12.17,48.83000000000001,12.464999999999998,10000000.0,610986.0,249,0
303,15.517,65.857,108.257,30000000.0,25473093.0,671,0
304,18.807,75.717,22.038000000000004,19000000.0,29922472.0,1508,0
305,14.226,80.225,56.60199999999999,75000000.0,36754634.0,750,0
306,18.959,112.669,25.684000000000008,68000000.0,68267862.0,1734,0
307,11.662,83.73999999999998,19.319000000000006,16000000.0,5367030.0,436,0
308,6.574,11.457,33.428000000000004,7445000.0,12805400.0,39,0
309,13.689,28.159000000000002,2.8760000000000003,6200000.0,9205924.0,319,0
310,11.386,97.77799999999998,93.91099999999994,12000000.0,972512.0,253,0
311,14.482,95.024,78.94199999999995,14000000.0,13551174.0,859,0
312,8.607999999999999,36.681,7.321999999999999,750000.0,4000000.0,27,0
313,1.242,23.818,3.79,1200000.0,2400000.0,9,0
314,13.156,60.075,4.56,10000000.0,1895782.0,330,0
315,26.588,136.64599999999996,82.22499999999998,55000000.0,36976336.0,1634,0
316,35.796,83.895,39.676,16000000.0,19682924.0,983,0
317,17.421,93.304,61.723000000000006,28000000.0,58795814.0,821,0
318,11.828,26.478,19.234000000000005,350000.0,1499275.0,141,0
319,3.051,13.128999999999998,10.074,3500000.0,3004541.0,40,0
320,12.189,64.89299999999999,26.185,25000000.0,19844979.0,915,0
